case,event,completeTime
700,a5,2013-05-30 00:13:30
701,a4,2013-06-23 18:13:06
701,a3,2013-05-14 14:40:29
701,a5,2013-06-01 06:31:39
701,a9,2013-05-19 21:27:46
701,a6,2013-04-25 18:37:54
701,a6,2013-05-12 04:53:43
701,a3,2013-05-01 01:28:20
701,a9,2013-05-01 06:06:19
701,a4,2013-05-30 14:22:23
701,a5,2013-05-16 16:10:05
702,a4,2013-05-09 14:07:18
702,a8,2013-04-28 00:27:52
702,a2,2013-05-20 07:57:08
702,a1,2013-06-01 08:30:11
702,a3,2013-05-24 22:12:40
702,a3,2013-07-02 08:08:27
702,a1,2013-06-25 23:12:55
702,a7,2013-06-06 18:20:58
702,a3,2013-05-26 01:52:20
702,a2,2013-04-27 16:02:22
703,a5,2013-05-31 18:59:43
703,a7,2013-06-19 15:54:57
703,a4,2013-06-03 00:14:40
703,a6,2013-05-29 09:18:14
703,a2,2013-06-16 13:58:47
703,a8,2013-06-03 11:55:41
703,a9,2013-07-13 23:30:02
703,a6,2013-05-28 12:27:07
703,a5,2013-05-22 21:47:31
703,a8,2013-06-01 01:30:24
704,a2,2013-06-29 12:50:59
704,a7,2013-06-19 02:47:25
704,a1,2013-05-30 06:30:52
704,a6,2013-05-02 13:17:51
704,a1,2013-05-03 21:51:20
704,a4,2013-06-27 02:38:41
704,a2,2013-04-22 13:02:46
704,a1,2013-04-22 03:46:44
704,a4,2013-06-01 04:59:20
704,a9,2013-06-04 21:34:31
705,a8,2013-05-07 01:26:59
705,a1,2013-07-07 23:30:17
705,a5,2013-04-30 00:47:00
705,a8,2013-06-20 04:37:29
705,a4,2013-05-09 06:26:25
705,a6,2013-06-23 04:28:34
705,a3,2013-05-28 11:33:32
705,a4,2013-07-11 19:54:41
705,a8,2013-05-02 21:45:31
705,a4,2013-07-13 23:36:53
706,a6,2013-06-16 17:46:56
706,a3,2013-07-06 05:51:11
706,a1,2013-07-14 10:07:32
706,a5,2013-06-08 11:03:59
706,a3,2013-07-12 20:19:17
706,a6,2013-05-04 08:38:07
706,a8,2013-04-27 15:39:01
706,a8,2013-05-08 20:46:55
706,a5,2013-04-23 22:00:27
706,a9,2013-07-04 12:14:04
707,a9,2013-05-08 12:08:40
707,a6,2013-06-18 11:26:25
707,a3,2013-05-11 14:26:02
707,a3,2013-05-17 08:09:10
707,a6,2013-04-18 11:45:35
707,a6,2013-05-14 12:42:43
707,a7,2013-07-13 06:37:40
707,a4,2013-05-29 21:33:06
707,a5,2013-04-24 23:08:33
707,a9,2013-04-25 09:01:33
708,a1,2013-06-30 13:00:36
708,a8,2013-07-14 05:17:17
708,a7,2013-05-24 09:31:21
708,a7,2013-05-12 05:27:09
708,a6,2013-06-30 17:20:34
708,a1,2013-05-26 05:45:07
708,a2,2013-07-13 15:31:39
708,a5,2013-06-03 22:07:50
708,a3,2013-06-08 08:35:21
708,a8,2013-06-10 02:13:51
709,a1,2013-06-18 02:07:37
709,a9,2013-05-14 05:18:05
709,a2,2013-06-04 12:59:31
709,a9,2013-06-15 03:52:54
709,a7,2013-07-10 17:10:57
709,a4,2013-07-11 11:56:53
709,a2,2013-05-25 18:00:23
709,a6,2013-05-13 18:51:01
709,a6,2013-06-05 13:33:28
709,a8,2013-05-26 09:53:49
710,a4,2013-06-15 21:13:31
710,a3,2013-05-17 22:08:16
710,a7,2013-06-18 07:12:36
710,a8,2013-07-11 04:45:34
710,a1,2013-05-22 03:00:25
710,a4,2013-07-15 15:33:42
710,a4,2013-06-26 08:43:58
710,a2,2013-07-02 08:22:25
710,a8,2013-06-27 14:27:29
710,a3,2013-05-10 05:33:28
711,a8,2013-05-14 02:57:08
711,a3,2013-07-03 01:52:06
711,a2,2013-05-16 09:00:10
711,a5,2013-07-14 20:40:45
711,a8,2013-06-06 18:18:46
711,a3,2013-06-06 11:45:37
711,a5,2013-06-04 01:56:57
711,a8,2013-05-29 17:08:26
711,a8,2013-05-20 21:30:30
711,a6,2013-06-16 16:14:11
712,a7,2013-04-26 22:59:54
712,a5,2013-07-01 14:12:16
712,a7,2013-04-22 11:30:43
712,a8,2013-04-16 21:32:54
712,a1,2013-06-18 10:42:48
712,a7,2013-05-25 15:48:12
712,a4,2013-07-06 22:51:55
712,a5,2013-06-29 00:44:01
712,a7,2013-07-12 15:05:22
712,a5,2013-07-04 01:59:35
713,a4,2013-05-13 02:53:36
713,a6,2013-07-05 04:08:23
713,a1,2013-05-07 17:24:59
713,a6,2013-05-08 21:55:27
713,a3,2013-06-12 11:01:27
713,a8,2013-04-28 14:48:52
713,a9,2013-06-24 22:31:41
713,a6,2013-04-20 10:47:51
713,a8,2013-05-07 03:56:27
713,a7,2013-07-15 20:35:16
714,a7,2013-06-25 09:54:25
714,a1,2013-05-23 23:10:40
714,a9,2013-06-18 05:12:23
714,a1,2013-05-29 12:19:51
714,a4,2013-04-24 02:08:25
714,a2,2013-05-25 16:17:17
714,a9,2013-06-07 11:55:21
714,a9,2013-07-12 19:17:56
714,a4,2013-05-02 10:14:59
714,a4,2013-07-04 21:29:53
715,a8,2013-05-22 06:44:32
715,a3,2013-04-23 09:30:40
715,a6,2013-07-10 02:21:40
715,a9,2013-06-24 07:06:25
715,a3,2013-05-13 06:45:06
715,a1,2013-06-17 07:45:49
715,a2,2013-05-03 22:09:16
715,a8,2013-06-07 04:11:36
715,a7,2013-06-22 06:43:44
715,a3,2013-06-24 14:59:29
716,a2,2013-05-17 07:05:03
716,a4,2013-05-07 15:52:49
716,a3,2013-05-11 09:18:22
716,a4,2013-07-13 21:20:58
716,a1,2013-05-29 12:31:20
716,a5,2013-05-20 08:43:16
716,a3,2013-06-12 15:05:15
716,a4,2013-07-10 15:36:30
716,a1,2013-07-14 13:24:26
716,a7,2013-06-24 21:09:06
717,a1,2013-06-12 21:06:38
717,a5,2013-06-07 07:49:02
717,a7,2013-05-18 07:59:54
717,a6,2013-05-27 11:29:06
717,a4,2013-06-28 04:57:14
717,a3,2013-04-18 23:46:09
717,a3,2013-06-29 23:05:55
717,a1,2013-06-20 09:47:44
717,a6,2013-06-22 12:09:39
717,a2,2013-06-27 03:08:10
718,a4,2013-06-25 00:53:57
718,a1,2013-06-10 14:01:41
718,a2,2013-05-27 12:47:49
718,a7,2013-05-23 06:13:43
718,a7,2013-06-06 09:29:24
718,a9,2013-06-09 13:21:59
718,a3,2013-05-10 05:44:42
718,a1,2013-07-01 18:54:48
718,a8,2013-05-16 06:56:40
718,a1,2013-04-24 15:11:05
719,a6,2013-06-09 01:23:24
719,a5,2013-05-07 22:35:18
719,a2,2013-06-11 12:15:21
719,a5,2013-07-07 16:55:23
719,a6,2013-06-05 17:17:57
719,a7,2013-06-17 23:30:53
719,a2,2013-05-01 17:25:16
719,a8,2013-06-04 01:51:51
719,a9,2013-06-01 18:57:50
719,a9,2013-06-03 01:16:24
720,a4,2013-06-11 12:21:23
720,a1,2013-05-08 18:00:17
720,a5,2013-06-10 08:53:18
720,a4,2013-05-17 09:11:57
720,a6,2013-07-11 09:04:42
720,a5,2013-06-19 00:33:07
720,a3,2013-07-06 03:37:54
720,a5,2013-05-08 07:41:23
720,a2,2013-06-15 13:48:56
720,a8,2013-07-11 17:50:11
721,a5,2013-04-28 19:22:01
721,a9,2013-06-27 20:29:04
721,a1,2013-06-20 14:04:16
721,a5,2013-07-13 07:08:46
721,a3,2013-05-29 00:09:11
721,a7,2013-06-11 12:31:02
721,a8,2013-06-07 06:00:41
721,a2,2013-05-21 01:31:06
721,a1,2013-05-18 04:33:51
721,a9,2013-04-20 20:44:36
722,a9,2013-07-16 06:33:15
722,a6,2013-05-20 02:10:45
722,a1,2013-05-17 09:04:20
722,a1,2013-05-18 02:10:09
722,a1,2013-06-06 20:24:06
722,a5,2013-06-07 16:09:00
722,a1,2013-06-26 12:31:55
722,a6,2013-05-04 23:15:30
722,a9,2013-04-23 14:46:37
722,a2,2013-06-25 10:08:06
723,a1,2013-05-16 10:10:21
723,a1,2013-06-02 02:04:51
723,a4,2013-04-23 20:38:20
723,a9,2013-07-10 02:00:56
723,a7,2013-07-16 10:56:46
723,a2,2013-05-20 19:15:37
723,a8,2013-06-05 19:38:01
723,a3,2013-07-16 08:11:19
723,a6,2013-05-10 04:25:21
723,a2,2013-06-24 04:55:14
724,a3,2013-07-14 16:57:25
724,a8,2013-05-02 11:40:55
724,a1,2013-04-24 06:40:06
724,a9,2013-06-01 13:19:06
724,a9,2013-05-30 20:03:43
724,a5,2013-05-21 16:16:54
724,a1,2013-07-17 01:01:37
724,a5,2013-06-07 23:54:37
724,a2,2013-05-09 01:31:14
724,a5,2013-05-17 00:19:40
725,a6,2013-05-08 16:22:04
725,a9,2013-05-23 23:15:53
725,a9,2013-04-30 08:11:01
725,a4,2013-06-12 20:41:15
725,a9,2013-06-16 10:24:56
725,a1,2013-05-21 05:39:00
725,a5,2013-05-02 13:43:22
725,a6,2013-07-08 01:57:50
725,a9,2013-05-01 02:43:09
725,a1,2013-06-06 18:32:14
726,a1,2013-05-21 10:41:24
726,a5,2013-05-04 16:39:47
726,a1,2013-06-27 19:07:36
726,a3,2013-07-13 15:11:34
726,a5,2013-06-14 17:31:25
726,a6,2013-07-02 20:42:49
726,a8,2013-05-11 23:23:44
726,a1,2013-05-15 04:49:53
726,a4,2013-06-28 02:10:16
726,a6,2013-05-26 22:54:16
727,a5,2013-04-17 21:00:40
727,a7,2013-05-07 11:39:41
727,a1,2013-05-24 05:35:40
727,a3,2013-06-08 18:51:02
727,a3,2013-07-10 12:07:42
727,a5,2013-06-03 06:50:55
727,a6,2013-07-06 21:37:08
727,a7,2013-06-16 10:29:53
727,a3,2013-07-01 01:22:36
727,a6,2013-07-13 08:20:10
728,a5,2013-05-28 23:51:31
728,a7,2013-05-18 00:22:15
728,a9,2013-05-04 16:48:18
728,a9,2013-05-02 05:28:26
728,a2,2013-06-21 10:29:54
728,a8,2013-07-11 14:52:43
728,a2,2013-06-14 13:47:43
728,a1,2013-05-01 02:39:25
728,a1,2013-07-14 21:08:35
728,a7,2013-06-02 07:29:08
729,a4,2013-05-11 01:15:28
729,a3,2013-07-08 02:01:24
729,a6,2013-05-24 05:28:25
729,a1,2013-06-22 10:15:25
729,a9,2013-05-30 01:05:28
729,a8,2013-06-01 16:20:14
729,a7,2013-04-24 16:49:01
729,a2,2013-04-26 00:48:12
729,a4,2013-06-12 04:50:27
729,a5,2013-05-02 03:22:26
730,a3,2013-06-01 11:42:47
730,a8,2013-06-19 02:56:31
730,a2,2013-06-08 19:28:01
730,a8,2013-05-19 19:38:45
730,a1,2013-05-24 10:11:43
730,a1,2013-05-11 15:23:58
730,a9,2013-04-26 00:14:19
730,a3,2013-06-10 13:06:51
730,a1,2013-04-16 20:20:34
730,a6,2013-06-21 14:06:06
731,a3,2013-07-09 01:54:40
731,a5,2013-07-03 15:32:25
731,a3,2013-04-18 16:35:37
731,a6,2013-06-18 11:06:58
731,a9,2013-05-17 22:13:07
731,a7,2013-05-11 13:19:24
731,a6,2013-04-16 13:13:25
731,a3,2013-06-23 18:38:00
731,a5,2013-06-01 03:29:18
731,a2,2013-06-22 04:49:07
732,a6,2013-06-15 08:07:10
732,a5,2013-06-24 06:18:04
732,a4,2013-07-14 10:55:35
732,a8,2013-05-21 16:49:17
732,a3,2013-05-13 13:37:17
732,a9,2013-06-30 21:02:23
732,a8,2013-04-20 23:26:15
732,a8,2013-07-03 21:05:12
732,a5,2013-05-21 04:08:07
732,a8,2013-06-21 08:06:06
733,a2,2013-04-30 03:05:24
733,a6,2013-05-07 13:59:37
733,a1,2013-05-06 01:01:41
733,a4,2013-05-19 09:07:16
733,a8,2013-05-06 19:53:07
733,a2,2013-04-29 07:52:04
733,a7,2013-05-23 15:25:19
733,a1,2013-05-28 09:19:20
733,a9,2013-04-26 09:51:04
733,a7,2013-06-23 15:51:56
734,a3,2013-04-27 11:48:55
734,a4,2013-07-17 08:59:52
734,a8,2013-04-21 15:35:10
734,a3,2013-04-18 15:31:32
734,a1,2013-06-26 04:56:24
734,a7,2013-06-16 17:09:56
734,a1,2013-06-12 04:54:43
734,a4,2013-05-02 09:42:43
734,a3,2013-05-14 05:41:57
734,a7,2013-04-27 02:24:31
735,a7,2013-05-05 06:17:52
735,a4,2013-06-13 23:47:00
735,a6,2013-06-04 03:40:24
735,a3,2013-04-23 12:27:38
735,a3,2013-04-16 19:46:19
735,a8,2013-05-12 13:17:00
735,a4,2013-06-08 18:08:20
735,a5,2013-06-22 20:21:10
735,a1,2013-07-12 18:54:00
735,a3,2013-07-03 08:46:06
736,a9,2013-05-15 15:08:47
736,a9,2013-05-09 00:02:05
736,a8,2013-06-01 22:12:57
736,a3,2013-06-01 19:39:47
736,a5,2013-06-01 06:55:12
736,a2,2013-06-15 05:14:04
736,a2,2013-05-09 12:25:49
736,a9,2013-06-05 02:22:15
736,a6,2013-04-20 18:15:16
736,a7,2013-06-17 19:57:44
737,a2,2013-05-20 01:28:55
737,a6,2013-05-23 11:19:07
737,a6,2013-05-05 01:24:54
737,a8,2013-06-12 11:01:56
737,a9,2013-05-23 17:52:08
737,a3,2013-05-11 18:23:11
737,a9,2013-05-29 17:06:51
737,a7,2013-06-19 10:56:08
737,a6,2013-06-21 16:16:51
737,a7,2013-06-19 18:55:10
738,a1,2013-07-08 05:12:40
738,a6,2013-06-23 02:35:06
738,a5,2013-05-14 10:52:14
738,a7,2013-05-10 01:40:51
738,a8,2013-04-21 19:46:41
738,a3,2013-05-06 04:41:02
738,a9,2013-05-28 03:09:11
738,a3,2013-06-30 16:52:23
738,a4,2013-04-21 04:23:17
738,a6,2013-04-30 05:54:59
739,a9,2013-05-24 19:07:07
739,a2,2013-05-02 16:08:40
739,a4,2013-04-23 08:39:49
739,a8,2013-05-19 21:07:06
739,a2,2013-05-09 17:55:45
739,a2,2013-05-29 17:13:43
739,a3,2013-06-05 14:33:49
739,a9,2013-06-01 08:12:54
739,a7,2013-04-17 09:20:22
739,a1,2013-06-04 22:53:28
740,a2,2013-07-08 01:07:28
740,a1,2013-04-17 17:05:27
740,a2,2013-05-23 19:51:15
740,a3,2013-04-30 23:40:25
740,a7,2013-06-22 23:01:49
740,a1,2013-06-06 19:46:14
740,a3,2013-07-13 08:22:59
740,a2,2013-05-21 09:55:12
740,a6,2013-05-28 02:17:31
740,a2,2013-07-02 16:37:34
741,a2,2013-05-06 21:48:59
741,a3,2013-06-16 13:50:59
741,a6,2013-06-14 22:37:16
741,a6,2013-06-10 16:21:36
741,a8,2013-07-12 13:13:09
741,a4,2013-05-22 19:05:15
741,a3,2013-05-26 18:54:36
741,a6,2013-05-19 20:06:16
741,a5,2013-05-15 23:58:04
741,a7,2013-07-07 11:08:09
742,a4,2013-06-15 01:54:26
742,a6,2013-06-03 12:07:48
742,a7,2013-07-03 06:02:51
742,a7,2013-06-30 07:43:06
742,a6,2013-07-03 14:00:12
742,a6,2013-04-29 02:06:25
742,a5,2013-05-15 07:34:04
742,a6,2013-06-14 02:32:02
742,a6,2013-07-16 18:39:39
742,a2,2013-05-02 09:17:54
743,a9,2013-06-03 19:00:45
743,a4,2013-05-06 04:14:24
743,a6,2013-05-07 22:52:36
743,a4,2013-05-15 23:48:12
743,a7,2013-04-24 03:45:37
743,a7,2013-05-12 10:12:24
743,a4,2013-06-10 07:29:57
743,a5,2013-05-23 23:11:53
743,a5,2013-06-21 16:27:26
743,a3,2013-05-06 14:39:57
744,a9,2013-05-04 19:02:26
744,a5,2013-05-14 02:57:41
744,a8,2013-06-08 22:47:21
744,a5,2013-06-05 11:05:40
744,a5,2013-04-17 01:16:08
744,a3,2013-04-28 16:17:20
744,a9,2013-05-19 05:58:13
744,a2,2013-07-05 15:12:21
744,a5,2013-05-13 10:46:54
744,a4,2013-06-24 14:01:00
745,a6,2013-06-06 10:42:02
745,a4,2013-05-07 19:47:14
745,a3,2013-07-01 02:17:32
745,a1,2013-05-14 15:37:07
745,a6,2013-05-05 23:19:45
745,a6,2013-07-16 23:20:45
745,a8,2013-04-28 12:06:49
745,a4,2013-04-22 08:05:31
745,a2,2013-07-02 08:20:01
745,a7,2013-07-03 23:30:31
746,a5,2013-04-23 03:22:00
746,a2,2013-06-27 04:32:28
746,a2,2013-06-17 04:14:39
746,a8,2013-06-29 19:20:07
746,a5,2013-06-08 19:28:50
746,a3,2013-04-20 17:39:31
746,a2,2013-06-25 01:43:43
746,a4,2013-06-25 13:01:03
746,a3,2013-04-24 13:34:28
746,a7,2013-07-03 17:04:52
747,a3,2013-04-23 02:12:48
747,a9,2013-07-11 16:08:42
747,a9,2013-05-10 04:47:13
747,a2,2013-07-03 13:11:34
747,a4,2013-07-02 02:21:22
747,a9,2013-07-06 02:22:44
747,a8,2013-04-29 02:15:21
747,a5,2013-06-08 20:39:30
747,a6,2013-06-12 23:54:37
747,a6,2013-06-03 08:04:30
748,a1,2013-05-23 07:59:31
748,a3,2013-05-17 01:55:01
748,a3,2013-06-23 23:05:55
748,a6,2013-05-24 05:27:46
748,a7,2013-05-08 06:20:00
748,a2,2013-05-29 05:46:41
748,a9,2013-06-20 20:58:46
748,a3,2013-05-15 03:51:51
748,a3,2013-06-04 13:01:31
748,a6,2013-06-30 11:12:05
749,a6,2013-07-02 10:24:10
749,a4,2013-06-16 02:44:33
749,a4,2013-04-24 20:35:35
749,a7,2013-07-05 00:35:48
749,a9,2013-05-24 21:03:48
749,a8,2013-06-19 10:25:26
749,a6,2013-05-13 02:10:44
749,a9,2013-06-25 23:04:26
749,a7,2013-05-28 20:56:59
749,a6,2013-07-14 15:46:54
750,a7,2013-06-21 05:50:23
750,a5,2013-05-11 23:35:26
750,a1,2013-06-25 13:18:47
750,a5,2013-06-25 02:42:15
750,a5,2013-07-11 03:29:18
750,a9,2013-06-17 02:36:30
750,a1,2013-07-01 14:10:37
750,a3,2013-06-12 06:25:57
750,a2,2013-04-22 21:48:13
750,a9,2013-06-27 11:19:26
751,a1,2013-05-25 21:08:27
751,a2,2013-06-17 11:23:45
751,a8,2013-04-25 14:37:15
751,a3,2013-06-30 11:08:02
751,a5,2013-04-26 08:01:53
751,a4,2013-07-04 19:54:10
751,a9,2013-05-25 08:14:07
751,a9,2013-06-05 07:27:31
751,a6,2013-06-05 07:43:49
751,a3,2013-05-10 01:49:01
752,a4,2013-06-20 08:21:23
752,a6,2013-06-17 23:46:56
752,a3,2013-06-03 16:29:07
752,a1,2013-04-21 08:06:51
752,a1,2013-05-20 08:25:02
752,a7,2013-06-08 09:39:57
752,a4,2013-04-22 05:42:26
752,a3,2013-06-24 01:24:23
752,a6,2013-05-21 00:33:27
752,a2,2013-05-07 09:00:13
753,a1,2013-05-22 20:15:06
753,a2,2013-05-09 16:34:15
753,a8,2013-06-15 12:01:21
753,a8,2013-06-27 00:49:15
753,a7,2013-05-15 20:46:22
753,a5,2013-07-15 11:48:33
753,a2,2013-04-17 20:38:02
753,a9,2013-06-26 14:39:23
753,a9,2013-05-22 12:26:29
753,a4,2013-05-23 23:15:22
754,a5,2013-06-01 05:13:54
754,a7,2013-04-26 21:28:43
754,a8,2013-06-11 23:44:29
754,a5,2013-07-13 15:43:29
754,a5,2013-07-10 18:14:00
754,a8,2013-06-21 09:02:54
754,a2,2013-04-20 09:59:29
754,a5,2013-05-17 12:26:58
754,a6,2013-06-25 01:31:03
754,a7,2013-05-27 09:34:45
755,a8,2013-05-31 05:13:45
755,a3,2013-06-10 10:27:32
755,a9,2013-05-08 10:11:20
755,a7,2013-06-25 14:46:58
755,a2,2013-07-11 04:01:44
755,a9,2013-05-03 10:38:06
755,a1,2013-07-04 09:50:00
755,a7,2013-06-04 08:25:11
755,a1,2013-04-25 20:50:27
755,a5,2013-05-05 23:26:30
756,a4,2013-06-22 00:37:21
756,a4,2013-07-02 17:10:44
756,a4,2013-05-30 16:20:38
756,a8,2013-06-14 05:47:38
756,a3,2013-05-25 18:12:20
756,a1,2013-07-11 07:25:10
756,a1,2013-07-12 02:21:28
756,a3,2013-06-11 14:38:31
756,a8,2013-04-29 01:49:39
756,a6,2013-07-08 09:52:00
757,a1,2013-04-27 14:59:06
757,a9,2013-07-14 03:20:24
757,a9,2013-05-07 10:32:42
757,a9,2013-05-17 11:25:40
757,a8,2013-05-28 03:58:40
757,a7,2013-05-19 07:20:56
757,a9,2013-05-21 19:34:37
757,a6,2013-07-13 19:39:17
757,a1,2013-05-23 12:05:13
757,a5,2013-05-23 07:55:58
758,a6,2013-05-23 06:49:45
758,a1,2013-04-18 08:10:50
758,a3,2013-06-03 18:45:15
758,a9,2013-06-24 23:36:07
758,a8,2013-07-14 19:02:54
758,a4,2013-06-22 09:36:25
758,a1,2013-05-21 07:49:18
758,a6,2013-06-30 17:38:02
758,a7,2013-06-12 14:52:03
758,a9,2013-05-07 23:01:18
759,a1,2013-04-22 19:25:45
759,a9,2013-05-22 21:22:07
759,a5,2013-05-31 02:35:52
759,a3,2013-06-10 23:04:21
759,a6,2013-07-14 11:57:18
759,a9,2013-07-12 23:13:33
759,a2,2013-04-19 10:47:30
759,a3,2013-07-08 14:38:59
759,a1,2013-07-05 12:16:23
759,a8,2013-07-02 15:01:08
760,a4,2013-05-02 21:13:41
760,a4,2013-04-24 05:57:16
760,a6,2013-07-11 16:01:20
760,a2,2013-05-27 15:47:13
760,a4,2013-05-15 22:04:14
760,a9,2013-06-13 07:57:13
760,a9,2013-04-18 00:04:02
760,a6,2013-07-07 23:43:34
760,a8,2013-06-27 22:57:18
760,a1,2013-07-12 16:41:06
761,a6,2013-05-30 12:22:12
761,a9,2013-05-15 08:39:57
761,a7,2013-05-01 10:31:19
761,a2,2013-06-05 05:19:31
761,a2,2013-06-07 12:50:31
761,a8,2013-07-11 19:42:41
761,a1,2013-07-16 10:07:07
761,a1,2013-05-04 11:40:37
761,a3,2013-06-29 06:08:16
761,a4,2013-05-12 08:34:53
762,a7,2013-06-12 18:16:41
762,a7,2013-07-15 13:52:01
762,a7,2013-05-27 01:34:01
762,a2,2013-06-25 18:58:28
762,a8,2013-06-23 21:14:30
762,a9,2013-04-23 11:21:35
762,a4,2013-06-10 16:38:20
762,a4,2013-07-04 21:48:15
762,a7,2013-06-05 19:57:44
762,a1,2013-05-10 07:06:58
763,a9,2013-07-05 21:05:56
763,a5,2013-04-21 12:29:12
763,a2,2013-06-28 21:21:00
763,a8,2013-07-16 18:37:32
763,a6,2013-07-14 08:56:44
763,a9,2013-07-09 04:27:27
763,a6,2013-05-28 00:18:47
763,a8,2013-04-21 20:35:45
763,a2,2013-04-17 01:30:31
763,a9,2013-05-17 12:40:54
764,a5,2013-05-07 00:31:21
764,a2,2013-07-09 22:29:19
764,a8,2013-07-04 23:10:26
764,a9,2013-05-25 01:25:26
764,a2,2013-07-13 02:08:52
764,a5,2013-05-24 10:12:33
764,a6,2013-07-11 08:24:56
764,a3,2013-04-18 10:00:28
764,a5,2013-06-15 08:25:25
764,a1,2013-05-24 12:39:43
765,a6,2013-05-27 06:12:50
765,a5,2013-06-12 05:43:04
765,a3,2013-05-06 10:08:50
765,a6,2013-07-15 01:39:01
765,a3,2013-05-22 17:14:44
765,a8,2013-05-09 06:45:30
765,a5,2013-05-25 00:30:06
765,a7,2013-04-17 20:37:45
765,a8,2013-06-04 08:36:37
765,a5,2013-05-29 17:47:03
766,a7,2013-07-06 09:37:09
766,a5,2013-06-23 06:07:19
766,a5,2013-06-22 19:58:31
766,a5,2013-06-28 14:54:16
766,a8,2013-07-12 09:38:25
766,a6,2013-06-13 22:08:49
766,a1,2013-06-14 22:15:58
766,a2,2013-07-11 02:23:53
766,a4,2013-06-01 23:11:17
766,a5,2013-07-02 06:22:30
767,a8,2013-06-05 09:18:12
767,a9,2013-07-11 09:49:44
767,a1,2013-06-19 04:58:10
767,a7,2013-06-30 15:49:49
767,a4,2013-05-31 12:42:44
767,a3,2013-04-30 14:42:14
767,a6,2013-07-04 17:32:59
767,a7,2013-07-05 11:05:11
767,a4,2013-07-15 00:51:18
767,a1,2013-05-03 17:36:01
768,a4,2013-07-01 15:16:55
768,a5,2013-06-04 00:43:06
768,a9,2013-05-04 00:46:26
768,a2,2013-06-08 17:12:31
768,a4,2013-07-01 12:09:29
768,a9,2013-06-17 16:40:44
768,a8,2013-06-21 19:20:45
768,a9,2013-06-15 18:18:19
768,a8,2013-04-30 07:25:23
768,a3,2013-06-30 21:29:31
769,a9,2013-07-08 01:43:07
769,a9,2013-05-17 16:27:33
769,a9,2013-05-23 04:12:57
769,a8,2013-04-28 10:09:51
769,a1,2013-06-08 07:46:51
769,a4,2013-05-01 06:44:35
769,a6,2013-04-17 22:22:40
769,a6,2013-07-14 04:48:10
769,a9,2013-06-02 14:48:00
769,a8,2013-06-14 10:06:33
770,a7,2013-07-13 04:42:05
770,a7,2013-07-11 03:40:57
770,a6,2013-07-16 17:50:53
770,a9,2013-05-18 17:37:43
770,a6,2013-05-27 16:43:03
770,a9,2013-07-12 12:40:54
770,a1,2013-07-01 11:39:38
770,a1,2013-06-03 10:48:38
770,a5,2013-05-11 20:33:20
770,a2,2013-06-02 09:17:49
771,a4,2013-06-02 08:37:25
771,a9,2013-04-20 19:26:52
771,a3,2013-05-08 15:07:25
771,a9,2013-06-21 07:27:30
771,a2,2013-05-23 21:39:43
771,a7,2013-04-21 15:57:03
771,a8,2013-05-30 18:13:51
771,a2,2013-05-10 00:37:02
771,a6,2013-05-07 20:44:49
771,a1,2013-07-14 23:57:09
772,a8,2013-06-18 16:20:47
772,a9,2013-06-25 23:14:50
772,a2,2013-05-23 16:25:24
772,a3,2013-06-05 03:56:39
772,a7,2013-05-22 05:51:34
772,a7,2013-05-01 20:14:43
772,a9,2013-05-06 04:44:16
772,a6,2013-04-24 09:23:05
772,a9,2013-07-04 08:51:55
772,a3,2013-07-14 14:56:02
773,a1,2013-04-23 02:26:57
773,a1,2013-05-09 07:07:30
773,a5,2013-07-16 12:56:12
773,a2,2013-05-19 07:19:50
773,a7,2013-06-13 00:02:23
773,a4,2013-05-22 00:43:25
773,a7,2013-05-06 11:26:59
773,a4,2013-04-17 00:09:43
773,a8,2013-04-19 04:32:41
773,a1,2013-06-29 08:29:12
774,a5,2013-06-20 07:17:24
774,a5,2013-05-15 04:24:21
774,a4,2013-05-04 07:33:28
774,a1,2013-05-26 21:17:49
774,a3,2013-06-07 02:03:59
774,a2,2013-05-14 03:00:37
774,a2,2013-05-10 15:49:21
774,a5,2013-05-19 02:47:56
774,a2,2013-06-25 10:45:54
774,a1,2013-06-25 04:33:06
775,a5,2013-04-28 23:02:21
775,a8,2013-05-17 14:19:37
775,a7,2013-06-09 21:35:59
775,a6,2013-06-03 07:24:43
775,a7,2013-05-30 14:15:54
775,a3,2013-05-25 23:11:41
775,a1,2013-06-04 23:12:36
775,a5,2013-07-12 16:57:27
775,a9,2013-05-29 22:32:12
775,a5,2013-06-12 06:32:45
776,a5,2013-06-28 20:23:13
776,a7,2013-06-22 13:44:17
776,a4,2013-05-08 17:51:35
776,a1,2013-05-19 11:42:23
776,a5,2013-05-14 18:54:38
776,a5,2013-07-14 06:24:30
776,a6,2013-06-21 23:29:47
776,a7,2013-05-07 21:31:25
776,a6,2013-06-23 19:51:19
776,a4,2013-05-26 12:48:34
777,a3,2013-07-13 05:49:11
777,a9,2013-06-28 00:43:40
777,a7,2013-07-07 21:24:56
777,a1,2013-06-18 12:55:45
777,a8,2013-07-11 12:59:28
777,a6,2013-07-02 23:02:16
777,a8,2013-05-09 16:24:44
777,a7,2013-07-14 08:06:18
777,a5,2013-05-04 14:48:10
777,a9,2013-07-03 03:19:14
778,a6,2013-05-13 09:44:30
778,a1,2013-05-27 08:46:55
778,a6,2013-05-30 22:29:24
778,a8,2013-04-20 12:13:59
778,a9,2013-06-06 00:32:05
778,a2,2013-06-05 18:27:10
